City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
555,Trairi,BR,75.2,heavy intensity rain,-3.2778,-39.2689,janelas do mar
556,Kongolo,CD,76.32,moderate rain,-5.3833,27.0,GUEST HOUSE OASIS
558,Sola,VU,82.15,overcast clouds,-13.8833,167.55,Leumerus Bungalows
561,Koumac,NC,80.94,few clouds,-20.5667,164.2833,Le Monitel
566,Sarangani,PH,82.49,clear sky,5.4033,125.4636,Ballistic Islet
570,Abha,SA,76.82,clear sky,18.2164,42.5053,Abha Hotel
573,Grand Gaube,MU,77.38,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
578,Muisne,EC,76.26,overcast clouds,0.6,-80.0333,Quinta Samay
586,Najran,SA,81.25,clear sky,17.4924,44.1277,محمد هادي ال فطيح
588,Shambu,ET,79.47,scattered clouds,9.5667,37.1,Wabe Hotel
591,Sambava,MG,83.14,scattered clouds,-14.2667,50.1667,Melrose
592,Alugan,PH,80.01,few clouds,12.2188,125.4808,JM Lodge
595,Bathsheba,BB,75.81,broken clouds,13.2167,-59.5167,Atlantis Hotel
605,Marzuq,YE,81.54,clear sky,14.4,46.4667,
607,Isla Mujeres,MX,77.16,clear sky,21.2311,-86.73100000000001,Hotel La Joya Isla Mujeres
610,Vila Velha,BR,76.95,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
612,Kununurra,AU,84.18,scattered clouds,-15.7667,128.7333,Hotel Kununurra
617,Turayf,SA,77.25,broken clouds,31.6725,38.6637,Turaif
618,Vavuniya,LK,87.44,broken clouds,8.7514,80.4971,Thampa Hotel
623,Sebina,BW,82.04,clear sky,-20.8667,27.25,
625,Tamandare,BR,79.14,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
630,Anloga,GH,84.72,broken clouds,5.7947,0.8973,Pin Drop Hotel
634,Taoudenni,ML,87.33,overcast clouds,22.6783,-3.9836,
639,Buchanan,LR,84.61,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
640,Tautira,PF,81.63,light rain,-17.7333,-149.15,Pension Oaoa
641,Baghdad,IQ,78.71,scattered clouds,33.3406,44.4009,Baghdad Hotel
